"VEGAN_CODE","VEGAN_NAME","STD_DAY","CATE_CODE","GU","DONG","GU_CODE","DONG_CODE","ADD_STR","LAT","LON","SI_DO_CODE","SI_DO"
4877,"본죽 신대방삼거리역점","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 상도로 77 (대방동) ",37.4998973,126.9292386,11,"서울특별시"
4878,"본 죽&비빔밥 보라매역점","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 여의대방로24가길 8 (대방동) 1층",37.4985704,126.9210584,11,"서울특별시"
4079,"대방싸리집","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 여의대방로26길 24",37.4991894,126.9217394,11,"서울특별시"
4080,"세종대왕숯불갈비(여의대방로)","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 여의대방로 136(대방동)",37.4992158,126.9206872,11,"서울특별시"
4081,"초록애(구보성녹돈)","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 여의대방로54길 5(대방동)",37.5119864,126.925944,11,"서울특별시"
4082,"약초마을","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 노량진로 26(대방동)",37.5129597,126.9289389,11,"서울특별시"
4083,"대방회집","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 여의대방로 134-1(대방동)",37.4990178,126.9207127,11,"서울특별시"
4084,"마포숯불갈비","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 보라매로 112(대방동)",37.4993142,126.9285232,11,"서울특별시"
5034,"강서면옥","2022-11-02","H113","중구","서소문동",11020,1114016600,"서울특별시 중구 세종대로11길 35(서소문동)",37.5620425,126.9739533,11,"서울특별시"
5035,"진주회관","2022-11-02","H113","중구","서소문동",11020,1114016600,"서울특별시 중구 세종대로11길 26(서소문동)",37.5623895,126.9744806,11,"서울특별시"
5036,"도스타코스 (시청배달)","2022-11-02","H113","중구","서소문동",11020,1114016600,"서울특별시 중구 서소문로 115",37.5634185,126.9736515,11,"서울특별시"
5037,"스윗밸런스 (퍼시픽타워)","2022-11-02","H113","중구","서소문동",11020,1114016600,"서울특별시 중구 세종대로9길 41 지하1층",37.5613586,126.9730119,11,"서울특별시"
5214,"강남교자 (뚝섬)","2022-11-02","H113","성동구","성수동1가",11040,1120011400,"서울특별시 성동구 상원1길 26 서울특별시숲A타워 1층",37.5460228,127.0482731,11,"서울특별시"
5215,"본죽 뚝섬점","2022-11-02","H113","성동구","성수동1가",11040,1120011400,"서울특별시 성동구 왕십리로 114 656-297",37.5476883,127.044755,11,"서울특별시"
5216,"소소하게","2022-11-02","H113","성동구","성수동1가",11040,1120011400,"서울특별시 성동구 성덕정길 27 1층",37.5392804,127.0468425,11,"서울특별시"
5217,"그리너 샐러드 성수점","2022-11-02","H113","성동구","성수동1가",11040,1120011400,"서울특별시 성동구 상원길 49 2층",37.5484904,127.0481172,11,"서울특별시"
5218,"보난자베이커리 (성수)","2022-11-02","H113","성동구","성수동1가",11040,1120011400,"서울특별시 성동구 왕십리로5길 9-2",37.5468092,127.0441212,11,"서울특별시"
5286,"남도한식(고운님)","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 세종대로14길 22-5",37.5625649,126.9780776,11,"서울특별시"
5287,"김명자굴국밥전문점(북창점)","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 세종대로14길 28-3(북창동,지상1층)",37.5626218,126.978405,11,"서울특별시"
5288,"참복집","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 세종대로14길 28-6(북창동)",37.5624676,126.978294,11,"서울특별시"
5289,"대복","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 세종대로14길 22(북창동)",37.5627978,126.9779272,11,"서울특별시"
5290,"남도복국","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 세종대로18길 16-5 1층",37.5635938,126.9782786,11,"서울특별시"
5291,"애성회관","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 남대문로5길 23(북창동,1층)",37.562437,126.9789169,11,"서울특별시"
5292,"샐러디 (서울시청점)","2022-11-02","H113","중구","북창동",11020,1114011300,"서울특별시 중구 세종대로18길 20, 1층(북창동)",37.5636652,126.9781984,11,"서울특별시"
4672,"더브레드블루 (신촌)","2022-11-02","H113","마포구","노고산동",11140,1144011000,"서울특별시 마포구 신촌로12다길 3",37.5551544,126.9328171,11,"서울특별시"
4099,"맷돌로만청계산점","2022-11-02","H113","서초구","신원동",11220,1165011100,"서울특별시 서초구 청룡마을3길  11 신원동192-12",37.4456834,127.0586205,11,"서울특별시"
5108,"페이퍼넛츠","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 거북골로24길 37-8 1층",37.5812309,126.9082505,11,"서울특별시"
4292,"울림두레생협 북가좌점","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",37.574329,126.9102079,11,"서울특별시"
4293,"행복중심생협 북가좌매장","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 수색로 100 DMC래미안 이편한세상 상가 102동 6호",37.5740872,126.909385,11,"서울특별시"
4294,"자연드림 서울북가좌점","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 거북골로14길 32 가재울아이파크아파트 제상가동 101-102호",37.5763509,126.914503,11,"서울특별시"
4295,"김미자 당진아구동태탕","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 91(1층 북가좌동)",37.5812298,126.9120433,11,"서울특별시"
4296,"화송 왕족발N순대국","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 105(북가좌동,지상1층)",37.582255,126.9127983,11,"서울특별시"
4297,"남원추어탕","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 104(북가좌동)",37.5817525,126.913032,11,"서울특별시"
